scenario,scenario_label,expected_class_set,cadence_seconds,observer_id,pid,polls,pre_cause_polls,post_cause_polls,adapter_error_polls,cause_to_first_alert_seconds,cause_to_first_exact_seconds,cause_to_stable_exact_seconds,effect_to_first_exact_seconds,exact_correct
S1,manual in-cluster configuration change,configuration,1.0,f5df87ac-009c-4ac6-9c12-e779c24c3ba6,43683,21,1,20,0,0.6836614171043038,1.6928677503019571,2.6888852091506124,0.8982254159636796,True
S1,manual in-cluster configuration change,configuration,5.0,0136f6c9-6a34-47e2-968d-acf005fb5b8c,43684,5,1,4,0,4.731095292139798,4.731095292139798,9.710091042332351,3.936452957801521,True
S1,manual in-cluster configuration change,configuration,10.0,18e5a306-2624-46bf-b103-c900fb576eb8,43685,3,1,2,0,9.710115042049438,9.710115042049438,19.724833500105888,8.91547270771116,True
S2,expired temporary exception with persistent effect,authorization,1.0,62872fec-d505-4969-a6b9-124539db167e,45356,21,8,13,0,0.6628707498311996,0.6628707498311996,1.6403912911191583,0.6615088749676943,True
S2,expired temporary exception with persistent effect,authorization,5.0,a1be10ec-038a-4d12-8050-74a24c2ce7f9,45357,5,2,3,0,2.656777875032276,2.656777875032276,7.622748333029449,2.6554160001687706,True
S2,expired temporary exception with persistent effect,authorization,10.0,70b2b7ba-7481-4e6f-82e6-130f4a19ef65,45358,3,1,2,0,2.657337250187993,2.657337250187993,12.624158500228077,2.6559753753244877,True
S3,policy supersession,policy,1.0,e8a80a35-a914-405c-975f-361d18e0d67c,47049,21,1,20,0,0.7539234161376953,0.7539234161376953,1.7605579160153866,0.6426018751226366,True
S3,policy supersession,policy,5.0,61bd9002-e494-45cd-bb49-847b5ce8c61a,47050,5,1,4,0,4.835574374999851,4.835574374999851,9.833215333055705,4.724252833984792,True
S3,policy supersession,policy,10.0,73b4fbb3-d73c-43f3-95b4-b6d69a748b40,47051,3,1,2,0,9.833642958197743,9.833642958197743,19.77634095819667,9.722321417182684,True
S4,admission-time artifact substitution,authorization,1.0,9ab0d9e5-7ecb-4519-8e0d-883c7b7cb75c,48463,21,2,19,0,0.6903303749859333,0.6903303749859333,1.6897822497412562,-0.0043016658164560795,True
S4,admission-time artifact substitution,authorization,5.0,e1b5ad4b-32ec-435e-8af0-37dcd775bf7c,48464,5,1,4,0,3.72299512475729,3.72299512475729,8.741147499997169,3.0283630839549005,True
S4,admission-time artifact substitution,authorization,10.0,5a76b6d1-ef30-468b-9f8f-643b94e9236a,48465,3,1,2,0,8.741102499887347,8.741102499887347,18.703374582808465,8.046470459084958,True
S5,IAM authorization-surface expansion,environment,1.0,51b19859-02d1-4a9c-ba54-31c37ef39424,49591,21,1,20,0,0.7181947911158204,0.7181947911158204,1.7196355410851538,0.7176956250332296,True
S5,IAM authorization-surface expansion,environment,5.0,e665f891-0a34-4577-a634-13f3640671d6,49592,5,1,4,0,4.745009166188538,4.745009166188538,9.869975958019495,4.744510000105947,True
S5,IAM authorization-surface expansion,environment,10.0,970821be-d305-4d40-be6a-cd23665e9091,49594,3,1,2,0,9.870599457994103,9.870599457994103,19.78662525024265,9.870100291911513,True
S6,unapproved Git rollback followed by Flux convergence,authorization|intent,1.0,2595cc8d-b0fa-49d5-a7e7-468513b64340,50732,21,1,20,0,0.4521326660178602,4.486096208449453,5.487016166094691,-4.220451082568616,True
S6,unapproved Git rollback followed by Flux convergence,authorization|intent,5.0,0e5de1d2-6c30-4f83-a41e-28f059542118,50733,5,1,4,0,4.486115833278745,4.486115833278745,9.514681083150208,-4.220431457739323,True
S6,unapproved Git rollback followed by Flux convergence,authorization|intent,10.0,cdcfcfa4-2857-42d3-8093-7013e58cfe93,50734,3,1,2,0,9.51472600037232,9.51472600037232,19.49878641637042,0.8081787093542516,True
S7,out-of-band load-balancer change,environment,1.0,890beab6-a0c7-470f-aded-f4b51558ad36,51861,21,1,20,0,0.7475911253131926,0.7475911253131926,1.7696363339200616,0.7471206253394485,True
S7,out-of-band load-balancer change,environment,5.0,70069107-9fca-4598-a2b9-d42501f14fc6,51862,5,1,4,0,4.774291875306517,4.774291875306517,9.789000334218144,4.773821375332773,True
S7,out-of-band load-balancer change,environment,10.0,12bf6521-33d0-492d-bdb8-b73ea22b969f,51863,3,1,2,0,9.789275625254959,9.789275625254959,19.752750042360276,9.788805125281215,True
S8,live authorization identity mismatch,authorization,1.0,25015207-01be-48de-8e32-5f229868a07d,52423,21,1,20,0,0.7037987499497831,0.7037987499497831,1.7321853330358863,0.703291832935065,True
S8,live authorization identity mismatch,authorization,5.0,a1376527-674e-4453-b75a-8cb439532ad4,52424,5,1,4,0,4.750113542191684,4.750113542191684,9.763901041820645,4.749606625176966,True
S8,live authorization identity mismatch,authorization,10.0,cd8a5b87-fd9e-47d3-a7ad-bc67ded3b93e,52425,3,1,2,0,9.764079041779041,9.764079041779041,19.75505670811981,9.763572124764323,True
S9,missing live continuing-authorization status,evidence,1.0,30982292-114f-42c9-9db8-b6c2112e8e15,53034,21,1,20,0,0.7897431249730289,0.7897431249730289,1.7348967911675572,0.789604667108506,True
S9,missing live continuing-authorization status,evidence,5.0,764d954f-2468-4e31-b024-56b6b28023ba,53035,5,1,4,0,4.740841082762927,4.740841082762927,9.733687040861696,4.740702624898404,True
S9,missing live continuing-authorization status,evidence,10.0,d1fa5fb5-b072-49d9-b4d8-31af0550eb76,53036,3,1,2,0,9.733848665840924,9.733848665840924,19.806981875095516,9.7337102079764,True
